time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1780883960580298000,-32.43570190429688,629.0968702910468,-1,-1,24.469766725244853,620.5068701384589,-1,17.127266023644054,3.6856228486633764,39.638550065501704,-1
1780883960930358000,-32.08564208984375,629.0968702910468,-1,-1,24.469766725244853,620.5068701384589,-1,17.127266023644054,3.6856228486633764,39.638550065501704,-1
1780883993130766800,0.114766845703125,629.0968702910468,-1,-1,24.469766801726923,620.5068701384589,-1,22.824267540725586,3.693091828294524,39.63854996209057,-1
1780883993743852500,0.7278525390625,629.562744140625,0.05999999865889549,-1,24.469730726980444,620.9727439880371,-1,11.933870374739483,6,39.638573926667746,0
1780883995002875000,1.986875,629.5545654296875,0.03999999910593033,-1,24.46973072276135,620.9645652770996,-1,11.93387022882104,3,39.638574022901246,0
1780883996002903600,2.986903564453125,629.547607421875,0.05999999865889549,-1,24.46971831730263,620.9576072692871,-1,3.49386522056192,3,39.63858225510196,0
1780883997002934500,3.9869345703125,629.540283203125,0.05999999865889549,-1,24.469718317293545,620.9502830505371,-1,3.4938665982052632,3,39.638582336963005,0
1780883998002963500,4.98696337890625,629.5341796875,0.05999999865889549,-1,24.46971831728445,620.9441795349121,-1,3.4938675891114532,3,39.63858233696905,0
1780883999002993400,5.986993408203125,629.532470703125,0.05999999865889549,-1,24.469718317275362,620.9424705505371,-1,3.49386839513157,3,39.63858241883019,0
1780884000001271800,6.985271728515625,629.53076171875,0.05999999865889549,-1,24.469717851826225,620.9407615661621,-1,2.662893508124364,3,39.63858274512887,0
1780884001001239800,7.98523974609375,629.5325927734375,0.05999999865889549,-1,24.469717494792913,620.9425926208496,-1,3.16794871849788,3,39.63858301291032,0
1780884002001223400,8.985223388671875,629.5338134765625,0.05999999865889549,-1,24.469717494788476,620.9438133239746,-1,5.193273123477048,3,39.638583012913465,0
1780884003001180200,9.98518017578125,629.5341796875,0.05999999865889549,-1,24.469717585207082,620.9441795349121,-1,5.193238331667565,3,39.6385830129166,0
1780884004001132500,10.985132568359376,629.5377197265625,0.05999999865889549,-1,24.469717585201813,620.9477195739746,-1,5.1932035199063815,3,39.63858301291973,0
1780884005001107700,11.985107666015624,629.7852783203125,0.7099999785423279,61.516863740906885,24.4697104419686,621.1952781677246,206.015625,5.193168251157463,3,39.63858247039923,0
1780884006001062400,12.9850625,629.80517578125,0.7400000095367432,50.81034755652055,24.46969976930273,621.2151756286621,208.828125,5.031548900193124,3,39.63857894253442,0.5600000023841858
1780884007001007400,13.98500732421875,629.8051750967279,0.7400000095460818,107.0733342384443,24.46970003859343,621.21517494414,208.82812389688266,3.4708346027181243,4.029364438188559,39.63857747634573,0.5600000023841836
1780884008000976600,14.9849765625,629.7117913300171,0.8600000143136749,90.4993321504131,24.46969354622601,621.1217911774293,206.01562362022918,3.5360989120703934,4.029364438188556,39.63857431117815,0.769999980926508
1780884009000924200,15.984924072265626,630.0910638123751,0.7099999785546486,61.20235213795195,24.469685451197087,621.5010636597872,199.68749870628963,3.5653843303351085,4.0293644381885505,39.63857114451041,0.939999997615804
1780884010000885800,16.9848857421875,630.0178216379136,0.7099999785562682,56.40216856817927,24.469676402380756,621.4278214853257,193.71093651232113,3.6221461838600035,4.029364438188549,39.63856842828593,1.0199999809265006
1780884011000865000,17.984864990234374,629.8757317941636,0.7799999714031501,61.96294535081956,24.46966729025247,621.2857316415757,193.35937403716386,3.6763128358899877,4.029364438188549,39.638565818025796,1.0199999809265003
1780884012000821500,18.984821533203124,629.8916009347886,0.8700000047795181,69.11251888205092,24.469658737565126,621.3016007822007,196.17187383941453,3.7364215479943894,4.029364438188548,39.63856314901009,1.0199999809265006
1780884013000786400,19.984786376953124,629.6874993713573,0.7300000190868277,58.56513274805777,24.46965069974207,621.0974992187694,200.03906108613444,3.8045217789927843,4.029364438188549,39.638559508473925,1.009999990463244
1780884014000768800,20.984768798828124,629.9096673429012,0.7099999785565714,55.31751247495597,24.469643562787354,621.3196671903133,202.49999837406423,4.7486515301917755,4.029364438188548,39.63855512924111,1.0399999618530136
1780884015000752400,21.98475244140625,630.431151734665,0.7099999785585422,50.91169124471106,24.46963475641015,621.8411515820771,201.09374833856037,4.748651530191778,4.029364438188544,39.638551187849934,1.1299999952316107
1780884016000738300,22.98473828125,631.4094232041389,0.7099999785564294,55.31751247495386,24.469628710602343,622.819423051551,203.5546858020884,4.748651530191775,4.029364438188548,39.6385464059314,1.0399999618530136
1780884017000727300,23.984727294921875,631.4024652019143,0.7099999785572542,53.766549573448394,24.46962174555598,622.8124650493264,204.60937317964823,4.748651530191776,4.029364438188548,39.63854041063757,1.0700000524520723
1780884018000717000,24.984717041015625,631.5378411775455,0.7099999785582687,53.76654957344726,24.469614870307932,622.9478410249576,208.47656041575328,4.748651530191776,4.029364438188547,39.638532984191585,1.0700000524520723
1780884019000709600,25.984709716796875,631.8183587463573,0.7099999785559757,56.96060535344136,24.469608320999406,623.2283585937694,208.1249980549197,4.748651530191774,4.029364438188548,39.638525776457335,1.009999990463244
1780884020000703000,26.984702880859373,631.8115228079259,0.7099999785559906,56.960605353441316,24.469601337000462,623.221522655338,206.01562319017924,4.748651530191775,4.02936443818855,39.63851964893848,1.009999990463244
1780884021000698600,27.98469873046875,632.2761224173009,0.7099999785563008,56.96060535344056,24.469594098253747,623.686122264713,204.9609357587412,4.7486515301917755,4.029364438188549,39.6385140309486,1.009999990463244
1780884022000695800,28.98469580078125,632.4211419494823,0.7099999785560115,56.96060535344207,24.469586125154958,623.8311417968944,202.8515608976098,4.748651530191775,4.029364438188549,39.63850916942847,1.009999990463244
