time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1780914158000423400,-37.20757666015625,669.2453003684059,1.0914449509092132,180,24.479550887094305,660.655300215818,1.0083720212754705,5.319896033716852,3.516856944459886,39.7113832085895,0
1780914168000423400,-27.20757666015625,669.2453003684059,1.0914449509092132,180,24.479550887094305,660.655300215818,1.0083720212754705,5.319896033716852,3.516856944459886,39.7113832085895,0
1780914195352998100,0.144998046875,670.2902931530384,-1,-1,24.47949737385666,661.7002930004505,-1,50.78729856426087,30.003912713151202,39.711395217144634,-1
1780914195354861000,0.146861083984375,670.2902931530384,-1,-1,24.47949737385666,661.7002930004505,-1,50.78729908768553,30.003912713151355,39.711395217144634,-1
1780914195925809000,0.717808837890625,672.35888671875,0.05999999865889549,-1,24.47956629302811,663.7688865661621,-1,13.498751369039052,3,39.71139878088787,0
1780914197000815000,1.792815185546875,672.3157958984375,0.8799999952316284,-1,24.479567016190817,663.7257957458496,-1,13.421084341627928,3,39.711398362074654,0
1780914198000825300,2.792825439453125,672.379150390625,0.7099999785423279,-1,24.479567732653347,663.7891502380371,-1,13.584821956963301,3,39.711397284269445,0.17000000178813934
1780914199000835600,3.792835693359375,672.4033203125,0.7200000286102295,-1,24.479568584964742,663.8133201599121,-1,13.217998885364924,3,39.71139602650558,0
1780914200000845000,4.792844970703125,672.043212890625,0.75,-1,24.47957233824501,663.4532127380371,-1,3.5166486102515457,3,39.71139545655347,0
1780914201000855000,5.79285498046875,671.7012939453125,0.7200000286102295,-1,24.479573838527372,663.1112937927246,-1,3.5342795460485803,3,39.71139553266959,0
1780914202000123400,6.792123291015625,671.7012939453125,0.05000000074505806,-1,24.479573875061266,663.1112937927246,-1,3.294244703590712,3,39.711395530993265,0
1780914203000116000,7.792115966796875,671.7012939453125,0.07000000029802322,-1,24.479573889908163,663.1112937927246,-1,3.5196097521074123,3,39.71139553031204,0
1780914204000125400,8.79212548828125,671.6253662109375,0.699999988079071,-1,24.479580315350233,663.0353660583496,-1,3.43847602556543,3,39.71139600582117,0
1780914205000113700,9.79211376953125,671.4716796875,0.75,-1,24.479581254552766,662.8816795349121,-1,3.1893554701610847,3,39.71139649968492,0
1780914206000105700,10.792105712890624,671.43603515625,0.7300000190734863,99.93538691647548,24.47958284704972,662.8460350036621,79.1015625,3.5127735861819303,3,39.711397084089114,0
1780914207000113000,11.79211279296875,671.197021484375,0.7200000286102295,68.25662120630867,24.479583307558233,662.6070213317871,96.6796875,3.5149369142760287,3,39.71140039976047,0
1780914208000099300,12.792099365234375,670.907470703125,0.699999988079071,42.526116980144224,24.479584597844894,662.3174705505371,90.703125,3.516854099100756,3,39.711409443324854,0.4699999988079071
1780914209000087800,13.792087890625,670.9074700083584,0.699999988091462,120.68069594856743,24.479584586014838,662.3174698557705,90.7031269208125,2.86931696662255,4.02936443818856,39.711414135392054,0.4699999988079057
1780914210000091100,14.792091064453125,671.1955559989437,0.8799999952468127,74.27609734068804,24.479584318458933,662.6055558463559,96.32812889981602,2.956947307128484,4.0293644381885505,39.71142379436192,0.959999978542317
1780914211000075800,15.79207568359375,671.3200677419081,0.72000002862572,52.55900797600223,24.47958505814713,662.7300675893202,88.59375453535398,3.077957947529728,4.029364438188546,39.711436071364275,1.110000014305098
1780914212000063000,16.79206298828125,671.2205804511905,0.8000000119372854,54.47291816158035,24.479587792171916,662.6305802986026,78.3984422643313,3.1591568164266346,4.0293644381885425,39.71144851994413,1.1900000572204383
1780914213000067300,17.7920673828125,670.9453118825331,0.8100000023967107,59.128881797472765,24.479593903743705,662.3553117299452,58.359378862436884,3.2507542091717956,4.029364438188546,39.71145839591486,1.110000014305098
