time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1780796874393998800,-8.166001220703125,635.847900390625,1.2599999904632568,-1,24.466303943881634,627.2579002380371,-1,17.835895601883447,16,39.64174618108844,0
1780796882641248000,0.081248046875,635.847900390625,1.2599999904632568,-1,24.466303943881634,627.2579002380371,-1,17.835895601883447,16,39.64174618108844,0
1780796882672666000,0.112666015625,630.130051612854,-1,-1,24.466298060958543,621.5400514602661,-1,43.471558089454476,4.0041053197197725,39.64173649330766,-1
1780796883056924000,0.496923828125,632.2478952368094,-1,-1,24.466388354209915,623.6578950842215,-1,25.771119014495874,30,39.641829582273154,-1
1780796883290187800,0.730187744140625,635.150146484375,0.23999999463558197,-1,24.466296234463282,626.5601463317871,-1,12.3019650560431,8,39.64171412809805,0
1780796885001215000,2.441215087890625,633.19140625,0.07000000029802322,-1,24.466277778925292,624.6014060974121,-1,12.833319778297462,4,39.64168916031841,0
1780796886001237500,3.441237548828125,633.34619140625,0.07000000029802322,-1,24.46627225080185,624.7561912536621,-1,13.214122476457634,4,39.64168052623045,0
1780796887001260300,4.44126025390625,633.477783203125,0.07000000029802322,-1,24.466272960738046,624.8877830505371,-1,14.877719264933273,4,39.641678633059215,0
1780796888001283800,5.441283935546875,633.639404296875,0.07000000029802322,-1,24.46627132812092,625.0494041442871,-1,4.534668413853601,3,39.64167078462334,0
1780796889000587500,6.44058740234375,633.8756103515625,0.07000000029802322,-1,24.46627204658943,625.2856101989746,-1,3.9478539151303678,3,39.641668073600826,0
1780796890000575500,7.440575439453125,634.0537109375,0.07000000029802322,-1,24.466272720939042,625.4637107849121,-1,3.6195795203385708,3,39.641664992066055,0
1780796891000592400,8.44059228515625,634.16064453125,0.07000000029802322,-1,24.46627570955182,625.5706443786621,-1,3.5486823337563718,3,39.64166025581781,0
1780796892000579800,9.440579833984375,634.0087890625,0.07000000029802322,-1,24.46627661577796,625.4187889099121,-1,2.559787335766949,3,39.64165815919688,0
1780796893000558800,10.440558837890626,633.903564453125,0.07000000029802322,-1,24.466276816898368,625.3135643005371,-1,3.5143846666534673,3,39.64165542058974,0
1780796894000565500,11.4405654296875,633.8896484375,0.09000000357627869,-1,24.466277310819798,625.2996482849121,-1,3.4155042073809643,3,39.641654477828006,0
1780796895000551700,12.4405517578125,633.95947265625,0.8100000023841858,68.88359842116999,24.466277012124305,625.3694725036621,257.34375,3.526524410985849,3,39.64164990692936,0
1780796896000529700,13.44052978515625,633.9594719475135,0.9056075335530156,-1,24.466277256235646,625.3694717949256,-1,4.492900392149495,4.029364438188564,39.6416502895135,0
1780796897000532700,14.44053271484375,633.9936516573653,0.7400000095469065,115.30974928494557,24.46628334944877,625.4036515047774,273.1640603791824,4.649468680483797,4.029364438188559,39.64163448366438,0.519999980926512
1780796898000510000,15.440510009765624,634.1882317690179,0.6700000172010749,63.86949846334501,24.46627688725438,625.59823161643,260.1562465791837,4.665112847074954,4.029364438188554,39.641623615591726,0.8500000238418505
1780796899000492000,16.440491943359376,634.4261468248442,0.7300000192045415,60.9801873941885,24.46627344431092,625.8361466722563,259.8046836004749,4.677743775017354,4.02936443818855,39.641613400034466,0.9700000286102183
